dates,p
2012-05-30,0.00013013588416678593
2012-05-31,0.0001631712999760092
2012-06-01,2.6051566055183543e-05
2012-06-04,5.388851311012332e-05
2012-06-05,0.00019116277260947063
2012-06-06,0.0009478429387612228
2012-06-07,0.0012087838606690846
2012-06-08,0.0015215148291784
2012-06-11,0.0004947606093950338
2012-06-12,0.0011374045750905093
2012-06-13,0.00036814217914012506
2012-06-14,0.001485954594667152
2012-06-15,0.0018585037688564853
2012-06-18,0.002927000418814608
2012-06-19,0.0029394011492817136
2012-06-20,0.0026240694853080686
2012-06-21,0.002316058492077896
2012-06-22,0.0029403173247365953
2012-06-25,0.002074365521271552
2012-06-26,0.002478778812263959
2012-06-27,0.0026141645633028614
2012-06-28,0.0024629167664603816
2012-06-29,0.0026512348738799247
2012-07-02,0.0025510293482220994
2012-07-03,0.0025348740895413014
2012-07-05,0.0029362350105282976
2012-07-06,0.002854048223776002
2012-07-09,0.00293759023153901
2012-07-10,0.0026538583316997673
2012-07-11,0.0029315010728527364
2012-07-12,0.0027978465727854485
2012-07-13,0.0028179320675669403
2012-07-16,0.0029567136874884556
2012-07-17,0.00277869949112288
2012-07-18,0.002657297532125118
2012-07-19,0.0022075827697035392
2012-07-20,0.0028406823016400773
2012-07-23,0.002216399406385452
2012-07-24,0.0009522291902074874
2012-07-25,0.0017315387491111177
2012-07-26,0.0028873899244451
2012-07-27,0.002984552629505439
2012-07-30,0.0025810163232211523
2012-07-31,0.0019225736282408362
2012-08-01,0.0019065871848744438
2012-08-02,0.0028316463608066907
2012-08-03,0.0025674289730221404
2012-08-06,0.002827435638613385
2012-08-07,0.0028890540205420805
2012-08-08,0.002538136230380222
2012-08-09,0.0025901521935090036
2012-08-10,0.0022195908508019853
2012-08-13,0.0012992799211463107
2012-08-14,0.00256623390805488
2012-08-15,0.002472623604247282
2012-08-16,0.002262672864623328
2012-08-17,0.0015138981349052025
2012-08-20,0.002261605510825105
2012-08-21,0.0029974148455087324
2012-08-22,0.0030279122674113455
2012-08-23,0.0027862041356212087
2012-08-24,0.003036623955332251
2012-08-27,0.0024372510438912826
2012-08-28,0.002304511562685401
2012-08-29,0.001790607534934828
2012-08-30,0.0011620789787428745
2012-08-31,0.0014727111803388092
